class,stage,psnr,ssim
with_mask,blurred,23.96901766703056,0.7145489173591177
with_mask,inverse_filter,10.531655632081538,0.08934233843230552
with_mask,wiener_filter,23.008497309121488,0.6648421333968269
with_mask,blurred,25.018826348027293,0.7584728555579999
with_mask,inverse_filter,7.807982973434124,0.07800390560088953
with_mask,wiener_filter,21.089901443080873,0.6591783416670981
with_mask,blurred,25.410371618918795,0.7448103229895963
with_mask,inverse_filter,14.916975937879236,0.1819177615200905
with_mask,wiener_filter,23.48565716886643,0.6614481219933505
with_mask,blurred,29.420354324618863,0.9268872504267244
with_mask,inverse_filter,8.36544769447218,0.17736754772462018
with_mask,wiener_filter,21.740761940077572,0.7554587058164334
with_mask,blurred,21.61485810295524,0.5230288697784404
with_mask,inverse_filter,6.029771321359098,0.0558564501640399
with_mask,wiener_filter,19.40448765897038,0.4942788531608421
with_mask,blurred,26.283383007242875,0.8285455079089162
with_mask,inverse_filter,8.23010194436913,0.11650637371170183
with_mask,wiener_filter,19.9874978550799,0.6023495397983557
with_mask,blurred,25.56462967950434,0.6435588940898522
with_mask,inverse_filter,10.14709907999647,0.07368139962732294
with_mask,wiener_filter,23.58294169510781,0.5719234312183166
with_mask,blurred,24.898272218154688,0.723227502596315
with_mask,inverse_filter,8.65150744077934,0.1251641694918863
with_mask,wiener_filter,23.460804506772686,0.7125412148315402
with_mask,blurred,22.567515009314,0.719553459742999
with_mask,inverse_filter,8.159544727962068,0.10668190049988756
with_mask,wiener_filter,22.392316072680632,0.7253457189743601
with_mask,blurred,36.94322149932484,0.9709624072953829
with_mask,inverse_filter,7.513739870494812,0.12310958738059691
with_mask,wiener_filter,21.452942287536978,0.7665588009853302
with_mask,blurred,27.903066142228873,0.77647250419932
with_mask,inverse_filter,9.771096924766173,0.15176806443601873
with_mask,wiener_filter,23.155963143446222,0.7056768870264931
with_mask,blurred,24.899076007500376,0.7213858663575896
with_mask,inverse_filter,6.520509605215208,0.13814055951545987
with_mask,wiener_filter,19.778469216766975,0.5860736214590123
with_mask,blurred,24.62397941847528,0.7858906461244817
with_mask,inverse_filter,7.615744911879972,0.13273925899916672
with_mask,wiener_filter,19.177020716821758,0.5582689189452547
with_mask,blurred,24.574744141748898,0.561305878949505
with_mask,inverse_filter,10.415241941844522,0.072587462186318
with_mask,wiener_filter,23.66774235994505,0.5326457289470219
with_mask,blurred,21.64805926043814,0.678628789699523
with_mask,inverse_filter,7.253803294005805,0.07031918756106775
with_mask,wiener_filter,20.44544789682092,0.5860759949103179
with_mask,blurred,21.85109089295215,0.7220156304706081
with_mask,inverse_filter,10.374467924165012,0.14228871886531283
with_mask,wiener_filter,21.421142559356902,0.6958284161143625
with_mask,blurred,24.989213373153586,0.7611842770726497
with_mask,inverse_filter,13.266862369275271,0.4323463414742526
with_mask,wiener_filter,23.77455789417887,0.7078832740062747
with_mask,blurred,23.02067737586665,0.6323984800194095
with_mask,inverse_filter,9.06601654557785,0.0776539367763908
with_mask,wiener_filter,21.555308871041653,0.5769094240625768
with_mask,blurred,22.509567580934444,0.6388799949184996
with_mask,inverse_filter,6.416844746376961,0.0596251452128273
with_mask,wiener_filter,20.50572468113461,0.5824767399584238
