class,method,iou,dice
with_mask,canny,0.0919445394723603,0.16840514540562457
with_mask,watershed,0.0014006111757857973,0.002797304415744828
with_mask,canny,0.07396307013917597,0.13773857257417801
with_mask,watershed,0.005874499332443258,0.011680382267056012
with_mask,canny,0.06390654861734077,0.12013564292915406
with_mask,watershed,0.002405150276682701,0.004798758817268316
with_mask,canny,0.032073257713457426,0.06215306418173306
with_mask,watershed,0.00017632330641464188,0.0003525844439743319
with_mask,canny,0.14962746754743067,0.26030600654773833
with_mask,watershed,0.0037322874493927126,0.007436818554232054
with_mask,canny,0.07851144863029413,0.14559223961878828
with_mask,watershed,0.00039625435358401636,0.0007921947965310207
with_mask,canny,0.07510880247086901,0.1397231653173152
with_mask,watershed,0.006872100148822551,0.013650393426944312
with_mask,canny,0.09956934956934957,0.18110608413802418
with_mask,watershed,0.002918204445970303,0.005819426615318785
with_mask,canny,0.08091638988414362,0.1497181292492318
with_mask,watershed,0.005947128789750468,0.011823939090925039
with_mask,canny,0.010818120351588911,0.02140468227424749
with_mask,watershed,0.002245949270066487,0.0044818325715403635
with_mask,canny,0.062095894926341946,0.11693086325439267
with_mask,watershed,0.0011837164998982743,0.002364633943581312
with_mask,canny,0.17947540983606558,0.3043309056540835
with_mask,watershed,0.00298289917461824,0.005948055898207134
with_mask,canny,0.10627783964365256,0.19213589178987103
with_mask,watershed,0.0005505376344086022,0.0011004694189865364
with_mask,canny,0.07613455414012739,0.14149634698973457
with_mask,watershed,0.00371708828084667,0.007406645406851147
with_mask,canny,0.09594517418617933,0.1750911933298593
with_mask,watershed,0.007643378338561797,0.015170800509133442
with_mask,canny,0.08147896608205825,0.15068063020631314
with_mask,watershed,0.0,0.0
with_mask,canny,0.09842295268858066,0.17920774952430377
with_mask,watershed,0.002633345381318738,0.005252858172829333
with_mask,canny,0.17086357947434294,0.29185907302890374
with_mask,watershed,0.0075753149889972934,0.015036722071897952
with_mask,canny,0.11307373210223472,0.20317383986535226
with_mask,watershed,0.01724775577446794,0.03391062929666843
with_mask,canny,0.042685950413223143,0.08187690722466612
with_mask,watershed,0.000880741127348643,0.001759932210018577
with_mask,canny,0.03445807770961145,0.06662053968567758
with_mask,watershed,0.004572612124591731,0.009103597031022013
with_mask,canny,0.05804286707578826,0.10971742049772851
with_mask,watershed,0.0032652348524532912,0.00650921558730877
with_mask,canny,0.1044883570825679,0.1892068058708503
with_mask,watershed,0.003497479210462672,0.006970578965907195
with_mask,canny,0.11443524449304796,0.20536903343379828
with_mask,watershed,0.0003201132189911379,0.0006400215586209219
with_mask,canny,0.06936204049177319,0.12972601956186008
with_mask,watershed,0.0018413847213104254,0.0036760005114435494
with_mask,canny,0.19940476190476192,0.3325062034739454
with_mask,watershed,0.0024330900243309003,0.0048543689320388345
with_mask,canny,0.026840985683214226,0.052278757972161444
with_mask,watershed,0.0036030545298103467,0.0071802382695983
with_mask,canny,0.13163179374230743,0.23264067777205336
with_mask,watershed,0.0005804953560371517,0.0011603171533552505
with_mask,canny,0.12764447714908939,0.2263913489326
with_mask,watershed,0.003581060170652991,0.007136563876651982
with_mask,canny,0.10548447933126051,0.1908384627798142
with_mask,watershed,0.0033652109435899384,0.006707848561791792
without_mask,canny,0.0460411809135989,0.08802938498728534
without_mask,watershed,0.013150227263898062,0.02595908663893096
without_mask,canny,0.08932565838527842,0.16400175227247837
without_mask,watershed,0.0045708839983763655,0.009100172165419345
without_mask,canny,0.05477980665950591,0.10386965376782077
without_mask,watershed,0.00020682523267838676,0.00041356492969396195
without_mask,canny,0.049404695671525535,0.09415756547555933
without_mask,watershed,0.003936139529359868,0.007841414158484444
without_mask,canny,0.011651616661811826,0.02303484019579614
without_mask,watershed,0.005274633661461506,0.010493915761606304
without_mask,canny,0.07280403353177013,0.13572662155658108
without_mask,watershed,0.002654136520918528,0.005294221455322654
without_mask,canny,0.05458740664278341,0.10352372178719484
without_mask,watershed,0.00013029598905513692,0.00026055802844425144
without_mask,canny,0.030336047711893566,0.058885734958535094
without_mask,watershed,0.0006997043749016041,0.0013984302620308703
without_mask,canny,0.007888469934510816,0.01565345803593404
without_mask,watershed,6.463567027190072e-05,0.00012926298554408945
without_mask,canny,0.12172802723983826,0.21703661544298994
without_mask,watershed,0.002109618220547272,0.004210354201156825
without_mask,canny,0.006015756751994765,0.011959567654123298
without_mask,watershed,0.00010384431660055245,0.00020766706815633176
without_mask,canny,0.009877250116308198,0.01956128849356816
without_mask,watershed,0.0011204249315295875,0.0022383419689119173
without_mask,canny,0.014060282925570796,0.027730664857530528
without_mask,watershed,0.003961965134706815,0.007892659826361484
without_mask,canny,0.0316721928044737,0.06139972178251067
without_mask,watershed,0.0051691567920315986,0.010285148041208931
without_mask,canny,0.009997128761974368,0.019796350855429783
without_mask,watershed,0.005206968823683521,0.010359993484280827
