class,noise_type,filter,psnr,ssim
with_mask,gaussian,none,23.408719394222594,0.5022264973457677
with_mask,gaussian,mean,27.317083781550554,0.7363111943726635
with_mask,gaussian,median,27.25869692630514,0.6961965362306989
with_mask,gaussian,none,24.074940061442565,0.6006302528816372
with_mask,gaussian,mean,23.71814610113041,0.700282747539715
with_mask,gaussian,median,24.155277514027528,0.6667695742360383
with_mask,gaussian,none,23.582651016100552,0.47796933712205325
with_mask,gaussian,mean,27.312222907339446,0.702570453708378
with_mask,gaussian,median,27.50811125380217,0.6663195177430243
with_mask,gaussian,none,23.452298592929388,0.502846764500374
with_mask,gaussian,mean,27.19467448897131,0.7172853540339327
with_mask,gaussian,median,27.188921392388895,0.682084738156911
with_mask,gaussian,none,23.71596575551127,0.47703985722788483
with_mask,gaussian,mean,26.81212099761561,0.6723020381597707
with_mask,gaussian,median,27.10048748905038,0.6402813449026533
with_mask,gaussian,none,23.339183747153378,0.47650935996598526
with_mask,gaussian,mean,26.842815834617166,0.6908290837772385
with_mask,gaussian,median,27.014824920061173,0.652869190650685
with_mask,gaussian,none,23.51534888718603,0.49836166369992757
with_mask,gaussian,mean,25.685106137521984,0.6858108279872516
with_mask,gaussian,median,25.838726975662905,0.635584296899388
with_mask,gaussian,none,23.389045933681693,0.34222786891271983
with_mask,gaussian,mean,30.772147734460876,0.7370522308537626
with_mask,gaussian,median,29.689110030714932,0.6736723017788795
with_mask,gaussian,none,23.40961944365207,0.5198311788002329
with_mask,gaussian,mean,29.18505310059394,0.8086076523785378
with_mask,gaussian,median,28.338073846844395,0.7628622613875476
with_mask,gaussian,none,23.323132149169474,0.5639409424840877
with_mask,gaussian,mean,26.865038193424205,0.7198222346798837
with_mask,gaussian,median,26.54375894490197,0.6896683441656651
with_mask,gaussian,none,23.617899389894667,0.47394145368249224
with_mask,gaussian,mean,29.641467033854134,0.7866410584562157
with_mask,gaussian,median,28.946910709741864,0.7396155043480629
with_mask,gaussian,none,23.61842665590668,0.5745695293092133
with_mask,gaussian,mean,27.61358934042633,0.8116668288432836
with_mask,gaussian,median,27.482019442901002,0.7756406398274995
with_mask,gaussian,none,23.369417207994058,0.5375434865707396
with_mask,gaussian,mean,26.4716139765507,0.7219704125520828
with_mask,gaussian,median,26.201610579950547,0.686717406089798
with_mask,gaussian,none,23.310044120014034,0.33718089651022226
with_mask,gaussian,mean,30.850096213061224,0.7394942371854638
with_mask,gaussian,median,29.74266102285837,0.6773948835598628
with_mask,gaussian,none,23.169635524181835,0.34531309587561143
with_mask,gaussian,mean,30.20998923897683,0.7228869796599514
with_mask,gaussian,median,29.272947723386586,0.6642163356457679
with_mask,gaussian,none,23.399175385161683,0.36497943486290185
with_mask,gaussian,mean,30.626359003894812,0.7418196988990681
with_mask,gaussian,median,29.558493339454856,0.6822993937144687
with_mask,gaussian,none,23.750873181338687,0.5071585769728818
with_mask,gaussian,mean,27.948040241683927,0.7740326854759347
with_mask,gaussian,median,28.027646831012206,0.7327678057142256
with_mask,gaussian,none,24.30589654518123,0.3661726574771426
with_mask,gaussian,mean,30.800099259855042,0.7296554804780797
with_mask,gaussian,median,29.992358322265463,0.6732408691307711
with_mask,gaussian,none,23.598796314726993,0.5979058125075354
with_mask,gaussian,mean,24.914697282305443,0.7551248277141124
with_mask,gaussian,median,25.479523771714277,0.7345745818487833
with_mask,gaussian,none,23.658387214588245,0.3612420113071197
with_mask,gaussian,mean,30.952674683159355,0.7632742048379528
with_mask,gaussian,median,29.97647068552883,0.7055963263267655
with_mask,gaussian,none,23.43522254380124,0.5250233925086266
with_mask,gaussian,mean,27.48947130452004,0.7426641372137786
with_mask,gaussian,median,27.201397418968803,0.7044046447693271
with_mask,gaussian,none,23.833140309461776,0.4127993497156271
with_mask,gaussian,mean,29.163199247811203,0.7677602576467443
with_mask,gaussian,median,29.110486380469055,0.7122260130624443
with_mask,gaussian,none,23.43620581703155,0.6224657618082866
with_mask,gaussian,mean,25.357811376645714,0.7240354173749912
with_mask,gaussian,median,25.38361369807431,0.7001095318707647
with_mask,gaussian,none,23.453432605411063,0.45492390967834395
with_mask,gaussian,mean,27.699520331861947,0.7009331397783503
with_mask,gaussian,median,27.71929661764162,0.6601123395896518
with_mask,gaussian,none,23.658507106826782,0.5376835911174817
with_mask,gaussian,mean,26.668858255305693,0.7662165560401926
with_mask,gaussian,median,26.685909086626395,0.7239634635018147
with_mask,gaussian,none,23.37274034763289,0.5831064234106978
with_mask,gaussian,mean,25.427320907358123,0.683053565626801
with_mask,gaussian,median,25.295562249053543,0.6570449647921027
with_mask,gaussian,none,23.57289820021489,0.3633450258902779
with_mask,gaussian,mean,30.816145266352436,0.7490423143425021
with_mask,gaussian,median,29.721138768160294,0.6866351525785114
with_mask,gaussian,none,23.202749147258636,0.5526701934114793
with_mask,gaussian,mean,26.29544990118921,0.7089623648052544
with_mask,gaussian,median,25.85809353037227,0.673449041851546
with_mask,gaussian,none,23.549835809071702,0.5397147519140889
with_mask,gaussian,mean,27.0387869113156,0.7440829164716525
with_mask,gaussian,median,26.807925360078606,0.7069559857710073
with_mask,gaussian,none,23.282581436220436,0.5496183257601674
with_mask,gaussian,mean,26.501569486208382,0.689316075185129
with_mask,gaussian,median,26.409260158730174,0.661392138019799
with_mask,saltpepper,none,17.665296690604407,0.38038987542679087
with_mask,saltpepper,mean,24.755684133029455,0.6037581150796604
with_mask,saltpepper,median,30.446796854020754,0.8973492235777898
with_mask,saltpepper,none,16.794805762154347,0.4444541385162079
with_mask,saltpepper,mean,22.070987619922935,0.5503413527951394
with_mask,saltpepper,median,25.10569713080795,0.8124081084289041
with_mask,saltpepper,none,17.24577552530045,0.35752085226069513
with_mask,saltpepper,mean,24.447243942683233,0.5552094061117655
with_mask,saltpepper,median,30.771799973383786,0.8772621665347193
with_mask,saltpepper,none,17.581212470783832,0.3644945756063112
with_mask,saltpepper,mean,24.711073710068593,0.5891400251493114
with_mask,saltpepper,median,30.194055025559827,0.8726668861573698
with_mask,saltpepper,none,17.10723939925175,0.3455796189185019
with_mask,saltpepper,mean,24.092444894426222,0.5314386790637634
with_mask,saltpepper,median,29.71514248107325,0.8450376510203456
with_mask,saltpepper,none,17.999120228195736,0.363063858733115
with_mask,saltpepper,mean,24.67344475960967,0.5809751414991048
with_mask,saltpepper,median,29.70105398054688,0.8652015963369073
with_mask,saltpepper,none,17.29017803363609,0.3757139595259466
with_mask,saltpepper,mean,23.66754585734543,0.5249228061890556
with_mask,saltpepper,median,28.112702044813854,0.8390438987385708
with_mask,saltpepper,none,17.466784623386175,0.2525323275305212
with_mask,saltpepper,mean,26.29543600427766,0.5627213953710126
with_mask,saltpepper,median,40.54216544350419,0.9800070557649588
with_mask,saltpepper,none,17.767575983090587,0.3992883604497545
with_mask,saltpepper,mean,25.895087628471583,0.6808028415363201
with_mask,saltpepper,median,33.653617006939434,0.9639666396752498
with_mask,saltpepper,none,17.940612300805196,0.409586078559095
with_mask,saltpepper,mean,24.708141209662294,0.6136043003645829
with_mask,saltpepper,median,29.151001511871787,0.8442416872297072
with_mask,saltpepper,none,17.449509080591923,0.36553291194416987
with_mask,saltpepper,mean,25.667543618095937,0.6386912004021434
with_mask,saltpepper,median,35.016315478357264,0.9635639241998728
with_mask,saltpepper,none,17.134764475528318,0.4245339940515033
with_mask,saltpepper,mean,24.681513976140344,0.6570550570288639
with_mask,saltpepper,median,31.642566217231103,0.949793758639462
with_mask,saltpepper,none,17.55327126850236,0.41249413165372256
with_mask,saltpepper,mean,24.27084371345542,0.6036631048749547
with_mask,saltpepper,median,28.330481237295135,0.8610768909269014
with_mask,saltpepper,none,17.787322215700737,0.24588250838308143
with_mask,saltpepper,mean,26.85718989620529,0.5804902084668836
with_mask,saltpepper,median,42.19098000644409,0.9838642022523821
