class,K,psnr,ssim
with_mask,0.001,21.607415643358877,0.5831722931392304
with_mask,0.01,23.008497309121488,0.6648421333968269
with_mask,0.1,20.93734163822377,0.6690586820316653
with_mask,1.0,10.001420157611625,0.4606285493220937
with_mask,0.001,18.913047381754247,0.5339544852431315
with_mask,0.01,21.089901443080873,0.6591783416670981
with_mask,0.1,21.30549585471519,0.6974415855033427
with_mask,1.0,12.858717694152663,0.4981211064080349
with_mask,0.001,22.476769817478612,0.5883580334560343
with_mask,0.01,23.48565716886643,0.6614481219933505
with_mask,0.1,20.731172106409794,0.6845091134404703
with_mask,1.0,8.820017603649248,0.5143486387906466
with_mask,0.001,18.039334773794458,0.5219018412466202
with_mask,0.01,21.740761940077572,0.7554587058164334
with_mask,0.1,21.754605424766694,0.8669126636831131
with_mask,1.0,9.9702321185876,0.6737512584529495
with_mask,0.001,16.124288837036705,0.3640534671709499
with_mask,0.01,19.40448765897038,0.4942788531608421
with_mask,0.1,20.209337827801917,0.5109985301588114
with_mask,1.0,11.888285809818077,0.3414253511592586
with_mask,0.001,17.35105487236686,0.4369493253515778
with_mask,0.01,19.9874978550799,0.6023495397983557
with_mask,0.1,20.642069648263643,0.6968734115450219
with_mask,1.0,10.81328982870222,0.5332068743074865
with_mask,0.001,21.3432239921093,0.47792094165306837
with_mask,0.01,23.58294169510781,0.5719234312183166
with_mask,0.1,22.702347121720635,0.5903586401319034
with_mask,1.0,12.385358542579109,0.4227344192898013
with_mask,0.001,20.825521830510233,0.5913997079279927
with_mask,0.01,23.460804506772686,0.7125412148315402
with_mask,0.1,22.080924813386346,0.7211450715195409
with_mask,1.0,11.319162539596617,0.5189146143107302
with_mask,0.001,20.471289801281024,0.6234149803141887
with_mask,0.01,22.392316072680632,0.7253457189743601
with_mask,0.1,20.460659576915333,0.7275955462494856
with_mask,1.0,9.949757467138884,0.5220838303839583
with_mask,0.001,17.615458664151948,0.5213127810909338
with_mask,0.01,21.452942287536978,0.7665588009853302
with_mask,0.1,23.62652130686209,0.9002640139830123
with_mask,1.0,12.76686113085537,0.7067815561488232
with_mask,0.001,19.788344149727557,0.5772991478162004
with_mask,0.01,23.155963143446222,0.7056768870264931
with_mask,0.1,22.34858735581616,0.7426826722595363
with_mask,1.0,10.428508367367076,0.5540081441107598
with_mask,0.001,16.693336674892045,0.462006315578756
with_mask,0.01,19.778469216766975,0.5860736214590123
with_mask,0.1,21.77077471692558,0.6401484258422762
with_mask,1.0,13.645350314811802,0.48416978179750975
with_mask,0.001,15.806841077685352,0.40166758523768675
with_mask,0.01,19.177020716821758,0.5582689189452547
with_mask,0.1,20.100769078688376,0.6500265909859638
with_mask,1.0,10.227756766520631,0.5098605200759814
with_mask,0.001,21.754103402090653,0.44798864032736846
with_mask,0.01,23.66774235994505,0.5326457289470219
with_mask,0.1,23.016399168248203,0.5317787849071985
with_mask,1.0,14.489367230344428,0.3644161891428017
with_mask,0.001,18.238236666013982,0.45590554322474103
with_mask,0.01,20.44544789682092,0.5860759949103179
with_mask,0.1,20.075956603914417,0.624684386856906
with_mask,1.0,11.85316732610801,0.47665491768814544
with_mask,0.001,20.58357958323748,0.6318183174961917
with_mask,0.01,21.421142559356902,0.6958284161143625
with_mask,0.1,18.94222486035187,0.7075765962695032
with_mask,1.0,7.964399134271661,0.5289851734764862
with_mask,0.001,22.322505364002453,0.6419620890754199
with_mask,0.01,23.77455789417887,0.7078832740062747
with_mask,0.1,22.98538708156197,0.7239530025068296
